timestamp_s,errorx,errory,aileron,elevator,roll_deg,pitch_deg,roll_rate_dps,pitch_rate_dps,pid_roll_desired,pid_roll_P,pid_roll_I,pid_roll_D,pid_pitch_desired,pid_pitch_P,pid_pitch_I,pid_pitch_D,alt_rel_m,groundspeed_ms,throttle_pct,nav_pitch_deg,target_locked,dist_m
12918.710,+0.0022,+0.4311,0.1771,0.2029,0.835,-6.143,-10.692,-4.260,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.67,31.84,22,3.660,1,241.2
12918.804,-0.0003,+0.4646,0.2871,0.3157,-0.283,-6.299,-20.971,-0.408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.67,31.85,22,0.720,1,241.2
12918.867,-0.0051,+0.5073,0.2871,0.3157,-0.283,-6.299,-20.971,-0.408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.67,31.85,22,0.720,1,241.2
12918.925,+0.0060,+0.4425,0.2871,0.3157,1.107,-6.115,34.011,1.303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.67,31.88,22,0.720,1,241.2
12918.995,+0.0225,+0.3981,0.2871,0.3157,3.065,-4.705,32.679,9.978,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.67,31.94,45,0.720,1,241.2
12919.049,+0.0225,+0.3530,0.2871,0.3157,3.065,-4.705,32.679,9.978,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.67,31.94,45,0.720,1,241.2
12919.098,+0.0009,+0.1171,0.2700,0.2414,-0.235,-4.151,-43.868,8.173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.67,31.97,45,2.730,1,231.0
12919.153,+0.0001,+0.2403,0.2700,0.2414,-0.235,-4.151,-43.868,8.173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.67,31.97,45,2.730,1,231.0
12919.206,-0.0028,+0.0897,0.2700,0.2414,-0.235,-4.151,-43.868,8.173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.67,31.97,45,2.730,1,231.0
12919.251,-0.0323,+0.0193,0.2700,0.2414,-0.235,-4.151,-43.868,8.173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.67,31.97,45,2.730,1,231.0
