# pipeline profile — started 2026-08-27 09:04:18
   ctrl+mav          0.17 ms    0.8%
   hud               5.69 ms   25.3%
   display           5.33 ms   23.7%
     detect          6.11 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     1.10 ms  (sub)
     hud:setup       0.11 ms  (sub)
     hud:ladder      0.14 ms  (sub)
     hud:warp        2.40 ms  (sub)
     hud:arc         0.07 ms  (sub)
     hud:blend       1.26 ms  (sub)
     hud:yaw         0.51 ms  (sub)
     hud:cross       0.07 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.62 ms  (sub)
     disp:waitkey    4.66 ms  (sub)
[PROF 09:04:50]  57 frames   22.62 ms/frame  ->  44.2 FPS
   capture           4.70 ms   20.8%
   track             6.53 ms   28.9%
   ctrl+mav          0.37 ms    1.6%
   hud               5.54 ms   24.5%
   display           5.48 ms   24.2%
     detect          5.99 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     1.03 ms  (sub)
     hud:setup       0.10 ms  (sub)
     hud:ladder      0.13 ms  (sub)
     hud:warp        2.45 ms  (sub)
     hud:arc         0.08 ms  (sub)
     hud:blend       1.19 ms  (sub)
     hud:yaw         0.46 ms  (sub)
     hud:cross       0.06 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.60 ms  (sub)
     disp:waitkey    4.84 ms  (sub)
[PROF 09:04:52]  57 frames   22.76 ms/frame  ->  43.9 FPS
   capture           5.10 ms   22.4%
   track             6.39 ms   28.1%
   ctrl+mav          0.41 ms    1.8%
   hud               5.45 ms   24.0%
   display           5.41 ms   23.7%
     detect          5.81 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     1.01 ms  (sub)
     hud:setup       0.10 ms  (sub)
     hud:ladder      0.14 ms  (sub)
     hud:warp        2.41 ms  (sub)
     hud:arc         0.07 ms  (sub)
     hud:blend       1.17 ms  (sub)
     hud:yaw         0.46 ms  (sub)
     hud:cross       0.06 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.60 ms  (sub)
     disp:waitkey    4.76 ms  (sub)
[PROF 09:04:54]  58 frames   22.47 ms/frame  ->  44.5 FPS
   capture           4.78 ms   21.3%
   track             6.50 ms   28.9%
   ctrl+mav          0.37 ms    1.7%
   hud               5.46 ms   24.3%
   display           5.35 ms   23.8%
     detect          5.98 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     1.00 ms  (sub)
     hud:setup       0.11 ms  (sub)
     hud:ladder      0.14 ms  (sub)
     hud:warp        2.40 ms  (sub)
     hud:arc         0.07 ms  (sub)
     hud:blend       1.17 ms  (sub)
     hud:yaw         0.47 ms  (sub)
     hud:cross       0.07 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.57 ms  (sub)
     disp:waitkey    4.74 ms  (sub)
[PROF 09:04:56]  56 frames   22.27 ms/frame  ->  44.9 FPS
   capture           4.82 ms   21.7%
   track             6.43 ms   28.9%
   ctrl+mav          0.33 ms    1.5%
   hud               5.32 ms   23.9%
   display           5.36 ms   24.1%
     detect          5.93 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     1.00 ms  (sub)
     hud:setup       0.10 ms  (sub)
     hud:ladder      0.13 ms  (sub)
     hud:warp        2.31 ms  (sub)
     hud:arc         0.07 ms  (sub)
     hud:blend       1.14 ms  (sub)
     hud:yaw         0.47 ms  (sub)
     hud:cross       0.06 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.61 ms  (sub)
     disp:waitkey    4.71 ms  (sub)
[PROF 09:04:58]  58 frames   22.90 ms/frame  ->  43.7 FPS
   capture           5.17 ms   22.6%
   track             6.40 ms   27.9%
   ctrl+mav          0.33 ms    1.4%
   hud               5.48 ms   23.9%
   display           5.52 ms   24.1%
     detect          5.83 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.99 ms  (sub)
     hud:setup       0.10 ms  (sub)
     hud:ladder      0.13 ms  (sub)
     hud:warp        2.43 ms  (sub)
     hud:arc         0.07 ms  (sub)
     hud:blend       1.19 ms  (sub)
     hud:yaw         0.47 ms  (sub)
     hud:cross       0.06 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.62 ms  (sub)
     disp:waitkey    4.85 ms  (sub)
[PROF 09:05:00]  56 frames   22.50 ms/frame  ->  44.5 FPS
   capture           4.91 ms   21.8%
   track             6.11 ms   27.2%
   ctrl+mav          0.35 ms    1.5%
   hud               5.61 ms   24.9%
   display           5.52 ms   24.5%
     detect          5.61 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     1.01 ms  (sub)
     hud:setup       0.10 ms  (sub)
     hud:ladder      0.13 ms  (sub)
     hud:warp        2.41 ms  (sub)
     hud:arc         0.07 ms  (sub)
     hud:blend       1.21 ms  (sub)
     hud:yaw         0.58 ms  (sub)
     hud:cross       0.06 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.58 ms  (sub)
     disp:waitkey    4.89 ms  (sub)
[PROF 09:05:02]  59 frames   22.77 ms/frame  ->  43.9 FPS
   capture           4.74 ms   20.8%
   track             6.49 ms   28.5%
   ctrl+mav          0.39 ms    1.7%
   hud               5.64 ms   24.8%
   display           5.51 ms   24.2%
     detect          5.99 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     1.01 ms  (sub)
     hud:setup       0.10 ms  (sub)
     hud:ladder      0.14 ms  (sub)
     hud:warp        2.50 ms  (sub)
     hud:arc         0.08 ms  (sub)
     hud:blend       1.22 ms  (sub)
     hud:yaw         0.49 ms  (sub)
     hud:cross       0.07 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.55 ms  (sub)
     disp:waitkey    4.91 ms  (sub)
[PROF 09:05:04]  58 frames   23.16 ms/frame  ->  43.2 FPS
   capture           5.23 ms   22.6%
   track             6.48 ms   28.0%
   ctrl+mav          0.35 ms    1.5%
   hud               5.58 ms   24.1%
   display           5.52 ms   23.8%
     detect          5.94 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     1.03 ms  (sub)
     hud:setup       0.10 ms  (sub)
     hud:ladder      0.14 ms  (sub)
     hud:warp        2.47 ms  (sub)
     hud:arc         0.08 ms  (sub)
     hud:blend       1.19 ms  (sub)
     hud:yaw         0.47 ms  (sub)
     hud:cross       0.07 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.58 ms  (sub)
     disp:waitkey    4.90 ms  (sub)
[PROF 09:05:06]  58 frames   22.43 ms/frame  ->  44.6 FPS
   capture           5.01 ms   22.3%
   track             6.38 ms   28.4%
   ctrl+mav          0.37 ms    1.6%
   hud               5.46 ms   24.3%
   display           5.22 ms   23.3%
     detect          5.81 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     1.00 ms  (sub)
     hud:setup       0.10 ms  (sub)
     hud:ladder      0.17 ms  (sub)
     hud:warp        2.37 ms  (sub)
     hud:arc         0.07 ms  (sub)
     hud:blend       1.14 ms  (sub)
     hud:yaw         0.50 ms  (sub)
     hud:cross       0.06 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.53 ms  (sub)
     disp:waitkey    4.65 ms  (sub)
[PROF 09:05:08]  51 frames   23.75 ms/frame  ->  42.1 FPS
   capture           5.44 ms   22.9%
   track             6.83 ms   28.8%
   ctrl+mav          0.41 ms    1.7%
   hud               5.75 ms   24.2%
   display           5.33 ms   22.4%
     detect          6.15 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     1.04 ms  (sub)
     hud:setup       0.10 ms  (sub)
     hud:ladder      0.14 ms  (sub)
     hud:warp        2.67 ms  (sub)
     hud:arc         0.07 ms  (sub)
     hud:blend       1.14 ms  (sub)
     hud:yaw         0.48 ms  (sub)
     hud:cross       0.06 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.56 ms  (sub)
     disp:waitkey    4.73 ms  (sub)
[PROF 09:05:10]  55 frames   22.95 ms/frame  ->  43.6 FPS
   capture           4.98 ms   21.7%
   track             6.56 ms   28.6%
   ctrl+mav          0.42 ms    1.8%
   hud               5.61 ms   24.5%
   display           5.37 ms   23.4%
     detect          6.07 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.98 ms  (sub)
     hud:setup       0.11 ms  (sub)
     hud:ladder      0.20 ms  (sub)
     hud:warp        2.49 ms  (sub)
     hud:arc         0.07 ms  (sub)
     hud:blend       1.15 ms  (sub)
     hud:yaw         0.48 ms  (sub)
     hud:cross       0.08 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.61 ms  (sub)
     disp:waitkey    4.72 ms  (sub)
[PROF 09:05:12]  51 frames   22.94 ms/frame  ->  43.6 FPS
   capture           5.15 ms   22.4%
   track             6.59 ms   28.7%
   ctrl+mav          0.34 ms    1.5%
   hud               5.42 ms   23.6%
   display           5.44 ms   23.7%
     detect          6.02 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     1.05 ms  (sub)
     hud:setup       0.11 ms  (sub)
     hud:ladder      0.14 ms  (sub)
