# pipeline profile — started 2026-08-27 09:24:23
   hud               3.78 ms   21.4%
   display           4.81 ms   27.2%
     detect          5.26 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.71 ms  (sub)
     hud:setup       0.08 ms  (sub)
     hud:ladder      0.10 ms  (sub)
     hud:warp        1.61 ms  (sub)
     hud:arc         0.05 ms  (sub)
     hud:blend       0.83 ms  (sub)
     hud:yaw         0.32 ms  (sub)
     hud:cross       0.04 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.53 ms  (sub)
     disp:waitkey    4.25 ms  (sub)
[PROF 09:24:57]  61 frames   17.47 ms/frame  ->  57.2 FPS
   capture           2.97 ms   17.0%
   track             5.47 ms   31.3%
   ctrl+mav          0.30 ms    1.7%
   hud               3.80 ms   21.7%
   display           4.93 ms   28.2%
     detect          5.01 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.71 ms  (sub)
     hud:setup       0.09 ms  (sub)
     hud:ladder      0.10 ms  (sub)
     hud:warp        1.62 ms  (sub)
     hud:arc         0.06 ms  (sub)
     hud:blend       0.82 ms  (sub)
     hud:yaw         0.32 ms  (sub)
     hud:cross       0.04 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.58 ms  (sub)
     disp:waitkey    4.32 ms  (sub)
[PROF 09:24:59]  59 frames   17.73 ms/frame  ->  56.4 FPS
   capture           3.18 ms   17.9%
   track             5.46 ms   30.8%
   ctrl+mav          0.31 ms    1.8%
   hud               3.83 ms   21.6%
   display           4.95 ms   27.9%
     detect          4.98 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.73 ms  (sub)
     hud:setup       0.08 ms  (sub)
     hud:ladder      0.10 ms  (sub)
     hud:warp        1.62 ms  (sub)
     hud:arc         0.05 ms  (sub)
     hud:blend       0.82 ms  (sub)
     hud:yaw         0.35 ms  (sub)
     hud:cross       0.04 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.54 ms  (sub)
     disp:waitkey    4.38 ms  (sub)
