timestamp_s,errorx,errory,aileron,elevator,roll_deg,pitch_deg,roll_rate_dps,pitch_rate_dps,pid_roll_desired,pid_roll_P,pid_roll_I,pid_roll_D,pid_pitch_desired,pid_pitch_P,pid_pitch_I,pid_pitch_D,alt_rel_m,groundspeed_ms,throttle_pct,nav_pitch_deg,target_locked,dist_m
77453.733,-0.0871,-0.1642,0.3486,0.2943,-8.657,-3.925,-58.509,-1.584,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.77,32.95,34,2.650,1,402.6
77453.777,-0.0717,+0.0356,0.3486,0.2943,-8.657,-3.925,-58.509,-1.584,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.77,32.95,34,2.650,1,402.6
77453.821,-0.2674,+0.0289,0.3486,0.2943,-12.865,-4.186,-33.999,-2.409,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.77,32.95,34,2.650,1,402.6
77453.862,-0.1994,+0.2220,0.3486,0.2943,-12.865,-4.186,-33.999,-2.409,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.77,32.95,34,2.650,1,402.6
77453.907,-0.1805,+0.2592,0.2171,0.1343,-7.575,-3.905,38.957,-1.676,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.19,32.91,22,20.000,1,393.9
77453.950,-0.1195,+0.2145,0.2171,0.1343,-7.575,-3.905,38.957,-1.676,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.19,32.91,22,20.000,1,393.9
77453.992,-0.0975,+0.2603,0.2171,0.1343,-7.575,-3.905,38.957,-1.676,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.19,32.91,22,20.000,1,393.9
77454.035,-0.0477,+0.1732,0.2171,0.1343,-10.409,-3.268,45.775,2.079,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.19,32.91,45,20.000,1,393.9
77454.079,+0.0281,+0.0147,0.2171,0.1343,-10.940,-3.108,-7.776,6.388,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.19,32.91,29,20.000,1,393.9
77454.123,+0.1337,-0.0283,0.2971,0.5857,-11.190,-2.491,-24.163,7.595,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.67,32.90,45,-24.520,1,385.3
77454.166,-0.0083,+0.0477,0.2971,0.5857,-11.190,-2.491,-24.163,7.595,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.67,32.90,45,-24.520,1,385.3
77454.206,-0.0263,+0.1067,0.2971,0.5857,-11.190,-2.491,-24.163,7.595,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.67,32.90,45,-24.520,1,385.3
77454.248,-0.0755,-0.1649,0.2971,0.5857,-11.190,-2.491,-24.163,7.595,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.67,32.90,45,-24.520,1,385.3
77454.291,-0.0525,-0.0190,0.2971,0.5857,-9.139,-2.902,15.218,6.205,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.67,32.87,22,-24.520,1,385.3
77454.334,-0.0525,-0.2242,-0.0900,0.4071,-2.116,-3.365,16.520,-6.367,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.29,32.82,45,-24.980,1,377.1
77454.379,+0.0182,-0.0857,-0.0900,0.4071,-2.116,-3.365,16.520,-6.367,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.29,32.82,45,-24.980,1,377.1
77454.422,+0.0776,+0.1902,-0.0900,0.4071,3.189,-3.577,86.284,-3.295,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.29,32.81,45,-24.980,1,377.1
77454.468,+0.0367,+0.1663,-0.0900,0.4071,3.189,-3.577,86.284,-3.295,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.29,32.81,45,-24.980,1,377.1
